URL;TITRE;TYPE;AUTEURS;CONTRIBUTEURS;EDITEURS;DATES;DESCRIPTIONS;SUJETS;PROVENANCE;ARK CATALOGUE;DROITS;NOMBRE DE VUES;CODE(S) PROJET(S);NQA Moyen (%);SOURCE
https://www.numistral.fr/ark:/12148/bpt6k9421626z;Le Grand messager boiteux de Strasbourg : almanach historique, moral et récréatif pour l'an de grâce ...;fascicules;;;Le Roux (Strasbourg) ¤ Diffusion Régionale du LivreDiffusion Régionale du Livre (Maxeville) ¤ PointillësPointillës (Bischeim);1912;"1912 ¤ 1912. ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422830n;domaine public ¤ public domain;1139;BNUStr017 ¤ Alsace1 ¤ BNUStr000;87.27;Bibliothèque nationale et universitaire de Strasbourg , M109322
https://www.numistral.fr/ark:/12148/bpt6k94369047;Schlettstadter Tageblatt;fascicules;;;[s.n.] (Schlettstadt);1917-06-29;"29 juin 1917 ¤ 1917/06/29 (N150). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34447162z;domaine public ¤ public domain;6210;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;85.47;Bibliothèque nationale et universitaire de Strasbourg , M600041
https://www.numistral.fr/ark:/12148/bpt6k9428887h;Strassburger Post;fascicules;;;[s.n.] (Strassburg);1917-12-22;"22 décembre 1917 ¤ 1917/12/22 (N772). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb419477071;domaine public ¤ public domain;17757;Alsace1 ¤ BNUStr014 ¤ BNUStr000 ¤ BIPNOUV;79.64;Bibliothèque nationale et universitaire de Strasbourg , M400064
https://www.numistral.fr/ark:/12148/bpt6k94246724;Neue Mülhauser Zeitung;fascicules;;;[s.n.] (Mülhausen);1915-12-30;"30 décembre 1915 ¤ 1915/12/30 (N305). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32822970k;domaine public ¤ public domain;6083;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;84.85;Bibliothèque nationale et universitaire de Strasbourg , M400084
https://www.numistral.fr/ark:/12148/bpt6k94468060;Strassburger Post;fascicules;;;[s.n.] (Strassburg);1915-04-27;"27 avril 1915 ¤ 1915/04/27 (N294)- (N296). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb419477071;domaine public ¤ public domain;17757;Alsace1 ¤ BNUStr014 ¤ BNUStr000 ¤ BIPNOUV;83.38;Bibliothèque nationale et universitaire de Strasbourg , M400064
https://www.numistral.fr/ark:/12148/bpt6k94414314;Strassburger Post;fascicules;;;[s.n.] (Strassburg);1917-01-06;"06 janvier 1917 ¤ 1917/01/06 (N11)- (N13). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb419477071;domaine public ¤ public domain;17757;Alsace1 ¤ BNUStr014 ¤ BNUStr000 ¤ BIPNOUV;82.87;Bibliothèque nationale et universitaire de Strasbourg , M400064
https://www.numistral.fr/ark:/12148/bpt6k3014188s;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1913-04-11;"11 avril 1913 ¤ 1913/04/11 (N182,A29). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;73.67;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k9434234b;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1915-12-23;"23 décembre 1915 ¤ 1915/12/23 (N354). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;83.47;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k9104561q;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1921-06-03;"03 juin 1921 ¤ 1921/06/03 (N151). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;59.92;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k91010827;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1911-03-21;"21 mars 1911 ¤ 1911/03/21 (N80). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;69.05;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k30148159;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1919-06-04;"04 juin 1919 ¤ 1919/06/04 (N148,A35). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;71.31;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3135750h;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1931-09-24;"24 septembre 1931 ¤ 1931/09/24 (N222,A47). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;73.3;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k31373745;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1937-01-06;"06 janvier 1937 ¤ 1937/01/06 (N4,A52). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;73.9;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k30061476;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1927-08-02;"02 août 1927 ¤ 1927/08/02 (N212,A19). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;82.97;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k30165592;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1922-12-30;"30 décembre 1922 ¤ 1922/12/30 (N749,A38). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;83.19;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3135295c;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1930-03-27;"27 mars 1930 ¤ 1930/03/27 (N74,A46). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;75.4;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k9103823r;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1919-04-29;"29 avril 1919 ¤ 1919/04/29 (N118). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;53.21;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k9103939z;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1919-08-26;"26 août 1919 ¤ 1919/08/26 (N234). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;60.95;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k91045216;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1921-04-23;"23 avril 1921 ¤ 1921/04/23 (N111). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;57.05;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k9103859c;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1919-06-05;"05 juin 1919 ¤ 1919/06/05 (N154). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;50.37;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k9104356q;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1920-11-06;"06 novembre 1920 ¤ 1920/11/06 (N301). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;55.98;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k91041064;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1920-02-15;"15 février 1920 ¤ 1920/02/15 (N46). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;53.9;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k9103721k;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1919-01-14;"14 janvier 1919 ¤ 1919/01/14 (N14). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;51.67;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k94379123;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1916-10-06;"06 octobre 1916 ¤ 1916/10/06 (N277). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;81.64;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k9101574d;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1912-10-28;"28 octobre 1912 ¤ 1912/10/28 (N299). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;66.85;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k9101825z;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1912-12-06;"06 décembre 1912 ¤ 1912/12/06 (N338). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;62.51;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k9104021g;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1919-11-20;"20 novembre 1919 ¤ 1919/11/20 (N319). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;55.62;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k91040506;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1919-12-20;"20 décembre 1919 ¤ 1919/12/20 (N347). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;58.49;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k9104499t;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1921-04-01;"01 avril 1921 ¤ 1921/04/01 (N89). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;53.74;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k3136191p;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1933-03-03;"03 mars 1933 ¤ 1933/03/03 (N53,A49). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;74.5;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3134497k;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1927-08-09;"09 août 1927 ¤ 1927/08/09 (N183,A43). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;74.4;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3004361j;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1922-08-05;"05 août 1922 ¤ 1922/08/05 (N214,A14). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;78.96;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k3135278v;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1930-03-07;"07 mars 1930 ¤ 1930/03/07 (N57,A46). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;72.9;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3004599p;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1923-04-05;"05 avril 1923 ¤ 1923/04/05 (N93,A15). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;74.9;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k9427515p;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1916-05-30;"30 mai 1916 ¤ 1916/05/30 (N148)- (N189). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;83.3;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k31372772;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1936-09-10;"10 septembre 1936 ¤ 1936/09/10 (N212,A51). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;74.4;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3136335r;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1933-08-26;"26 août 1933 ¤ 1933/08/26 (N198,A49). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;74.3;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3137477r;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1937-05-11;"11 mai 1937 ¤ 1937/05/11 (N108,A52). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;74.6;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3136394m;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1933-11-04;"04 novembre 1933 ¤ 1933/11/04 (N257,A49). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;74.69;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3136642x;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1934-09-04;"04 septembre 1934 ¤ 1934/09/04 (N203,A50). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;74.4;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3135158r;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1929-10-12;"12 octobre 1929 ¤ 1929/10/12 (N240,A45). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;74.4;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3136658s;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1934-09-22;"22 septembre 1934 ¤ 1934/09/22 (N219,A50). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;75.4;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3015175g;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1920-03-03;"03 mars 1920 ¤ 1920/03/03 (N86,A36). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;60.54;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k30156934;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1921-02-16;"16 février 1921 ¤ 1921/02/16 (N68,A37). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;78.58;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k30139264;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1912-11-18;"18 novembre 1912 ¤ 1912/11/18 (N575,A28). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;76.25;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3136892h;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1935-06-04;"04 juin 1935 ¤ 1935/06/04 (N129,A51). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;74.3;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3137879z;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1938-09-08;"08 septembre 1938 ¤ 1938/09/08 (N209,A53). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;74.0;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3017079d;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1923-11-08;"08 novembre 1923 ¤ 1923/11/08 (N696,A39). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;84.07;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3155541d;Strassburger neue Zeitung ¤ Nouvelle gazette de Strasbourg ¤ Le Nouveau journal de Strasbourg;fascicules;;;[s.n.] (Strassburg);1936-08-07;"07 août 1936 ¤ 1936/08/07 (N218,A28). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32873085d;domaine public ¤ public domain;7102;BNUStr014 ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV;74.1;Bibliothèque nationale et universitaire de Strasbourg , M600059
https://www.numistral.fr/ark:/12148/bpt6k3016724j;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1923-04-07;"07 avril 1923 ¤ 1923/04/07 (N220,A39). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;83.07;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3137501z;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1937-06-09;"09 juin 1937 ¤ 1937/06/09 (N132,A52). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;74.1;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k3133429f;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1925-01-17;"17 janvier 1925 ¤ 1925/01/17 (N33,A41). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;75.1;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k31347469;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1928-06-06;"06 juin 1928 ¤ 1928/06/06 (N131,A44). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;76.19;Bibliothèque nationale et universitaire de Strasbourg , M600057
https://www.numistral.fr/ark:/12148/bpt6k31375773;Der Elsässer;fascicules;;Schies, Julien (1875-1957). Directeur de publication;[s.n.] (Strasbourg);1937-09-08;"08 septembre 1937 ¤ 1937/09/08 (N209,A52). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34396439w;domaine public ¤ public domain;7264;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014 ¤ BIPNOUV;74.3;Bibliothèque nationale et universitaire de Strasbourg , M600057
